Date,High,Low,Open,Close,Volume,Adj Close
2021-09-17,3497.409912109375,3452.1298828125,3488.41455078125,3462.52001953125,4616556,3462.52001953125
2021-09-20,3419.0,3305.010009765625,3396.0,3355.72998046875,4669130,3355.72998046875
2021-09-21,3379.699951171875,3332.389892578125,3375.0,3343.6298828125,2780878,3343.6298828125
2021-09-22,3389.0,3341.050048828125,3351.0,3380.050048828125,2411403,3380.050048828125
2021-09-23,3428.9599609375,3380.050048828125,3380.050048828125,3416.0,2379414,3416.0
2021-09-24,3429.260009765625,3393.39990234375,3402.010009765625,3425.52001953125,2116241,3425.52001953125
2021-09-27,3415.570068359375,3339.610107421875,3371.5,3405.800048828125,3634450,3405.800048828125
2021-09-28,3369.18994140625,3290.10009765625,3357.7099609375,3315.9599609375,4430819,3315.9599609375
2021-09-29,3351.300048828125,3297.8701171875,3322.110107421875,3301.1201171875,2562268,3301.1201171875
2021-09-30,3327.85009765625,3273.989990234375,3316.0,3285.0400390625,2847033,3285.0400390625
2021-10-01,3309.174560546875,3255.93994140625,3289.010009765625,3283.260009765625,2835617,3283.260009765625
2021-10-04,3279.989990234375,3176.25,3279.389892578125,3189.780029296875,4523057,3189.780029296875
2021-10-05,3260.72998046875,3202.464111328125,3204.5,3221.0,3269208,3221.0
2021-10-06,3264.340087890625,3198.6201171875,3213.530029296875,3262.010009765625,2532977,3262.010009765625
2021-10-07,3325.74609375,3283.06005859375,3291.5400390625,3302.429931640625,2409075,3302.429931640625
2021-10-08,3321.429931640625,3288.199951171875,3317.0,3288.6201171875,1998217,3288.6201171875
2021-10-11,3292.58984375,3238.10009765625,3275.0,3246.300048828125,2034203,3246.300048828125
2021-10-12,3267.528076171875,3236.280029296875,3257.0,3247.330078125,1819571,3247.330078125
2021-10-13,3288.3798828125,3261.0888671875,3269.7099609375,3284.280029296875,2425086,3284.280029296875
2021-10-14,3312.60009765625,3290.780029296875,3302.4541015625,3299.860107421875,2112020,3299.860107421875
2021-10-15,3410.419921875,3304.0,3311.419921875,3409.02001953125,5179941,3409.02001953125
2021-10-18,3449.169921875,3385.10009765625,3388.357666015625,3446.739990234375,3174115,3446.739990234375
2021-10-19,3454.68994140625,3422.0,3434.2900390625,3444.14990234375,2386079,3444.14990234375
2021-10-20,3462.860107421875,3400.3701171875,3452.659912109375,3415.06005859375,2139777,3415.06005859375
2021-10-21,3440.280029296875,3403.0,3414.25,3435.010009765625,1881385,3435.010009765625
2021-10-22,3429.840087890625,3331.300048828125,3421.0,3335.550048828125,3139053,3335.550048828125
2021-10-25,3347.7998046875,3297.699951171875,3335.0,3320.3701171875,2225956,3320.3701171875
2021-10-26,3416.1201171875,3343.97998046875,3349.510009765625,3376.070068359375,2698342,3376.070068359375
2021-10-27,3437.0,3371.453369140625,3388.0,3392.489990234375,2702224,3392.489990234375
2021-10-28,3479.0,3386.0,3402.094970703125,3446.570068359375,5708733,3446.570068359375
2021-10-29,3374.820068359375,3273.320068359375,3300.02001953125,3372.429931640625,6486077,3372.429931640625
2021-11-01,3375.860107421875,3292.02001953125,3361.800048828125,3318.110107421875,3608879,3318.110107421875
2021-11-02,3331.114990234375,3283.550048828125,3315.010009765625,3312.75,2627590,3312.75
2021-11-03,3394.919921875,3297.52001953125,3309.0,3384.0,3397189,3384.0
2021-11-04,3498.625,3365.0,3370.0,3477.0,5353020,3477.0
2021-11-05,3566.25,3476.97998046875,3477.0,3518.989990234375,4996951,3518.989990234375
2021-11-08,3579.0,3487.860107421875,3523.239990234375,3488.97998046875,3073992,3488.97998046875
2021-11-09,3593.77001953125,3501.425048828125,3515.25,3576.22998046875,4294922,3576.22998046875
2021-11-10,3605.449951171875,3463.090087890625,3563.8701171875,3482.050048828125,4027422,3482.050048828125
2021-11-11,3543.239990234375,3467.469970703125,3513.0,3472.5,2264406,3472.5
2021-11-12,3540.726318359375,3447.050048828125,3485.0,3525.14990234375,2689434,3525.14990234375
2021-11-15,3593.8798828125,3525.81005859375,3537.0,3545.679931640625,2929719,3545.679931640625
2021-11-16,3576.5,3525.146484375,3539.0,3540.699951171875,2217071,3540.699951171875
2021-11-17,3587.2451171875,3545.35009765625,3564.719970703125,3549.0,2560270,3549.0
2021-11-18,3704.199951171875,3561.0,3566.35009765625,3696.06005859375,5703538,3696.06005859375
2021-11-19,3762.14501953125,3675.719970703125,3712.68994140625,3676.570068359375,4946203,3676.570068359375
2021-11-22,3713.455078125,3567.5,3676.376708984375,3572.570068359375,4847850,3572.570068359375
2021-11-23,3621.050048828125,3527.7099609375,3585.0400390625,3580.0400390625,3692246,3580.0400390625
2021-11-24,3613.639892578125,3536.85009765625,3562.669921875,3580.409912109375,2328018,3580.409912109375
2021-11-26,3633.5,3504.14990234375,3602.094970703125,3504.56005859375,2991297,3504.56005859375
2021-11-29,3596.0,3531.5,3547.644287109375,3561.570068359375,3265557,3561.570068359375
2021-11-30,3585.77001953125,3492.010009765625,3563.5,3507.070068359375,4001107,3507.070068359375
2021-12-01,3559.8798828125,3441.60009765625,3545.0,3443.719970703125,3756995,3443.719970703125
2021-12-02,3492.699951171875,3423.75,3460.0,3437.360107421875,3236288,3437.360107421875
2021-12-03,3469.864990234375,3338.60009765625,3455.0,3389.7900390625,4035550,3389.7900390625
2021-12-06,3473.909912109375,3338.68994140625,3393.0,3427.3701171875,3443000,3427.3701171875
2021-12-07,3549.989990234375,3466.68994140625,3492.0,3523.2900390625,3320536,3523.2900390625
2021-12-08,3543.60009765625,3495.010009765625,3523.010009765625,3523.159912109375,2262683,3523.159912109375
2021-12-09,3539.389892578125,3482.7900390625,3515.0,3483.419921875,2137748,3483.419921875
2021-12-10,3518.5400390625,3410.0,3508.340087890625,3444.239990234375,2941664,3444.239990234375
2021-12-10,3518.5400390625,3410.0,3508.340087890625,3444.239990234375,2941664,3444.239990234375
2021-12-13,3441.159912109375,3394.26611328125,3440.0,3401.675537109375,818263,3401.675537109375
2021-12-13,3442.0,3382.60009765625,3440.0,3391.35009765625,3108500,3391.35009765625
2021-12-14,3389.97998046875,3328.800048828125,3351.0,3381.830078125,2798800,3381.830078125
2021-12-15,3472.0,3303.89990234375,3371.9599609375,3466.300048828125,3789700,3466.300048828125
2021-12-16,3483.320068359375,3363.2099609375,3467.3701171875,3377.419921875,3043800,3377.419921875
2021-12-17,3417.969970703125,3312.27001953125,3354.2099609375,3400.35009765625,4277100,3400.35009765625
2021-12-20,3357.489990234375,3312.0,3337.0,3341.580078125,2868600,3341.580078125
2021-12-21,3414.330078125,3312.949951171875,3357.010009765625,3408.340087890625,2797800,3408.340087890625
2021-12-22,3441.0,3370.010009765625,3385.39990234375,3420.739990234375,2751800,3420.739990234375
2021-12-23,3439.5,3403.0,3408.56005859375,3421.3701171875,1839400,3421.3701171875
2021-12-27,3458.860107421875,3384.31005859375,3420.739990234375,3393.389892578125,2934400,3393.389892578125
2021-12-28,3443.52001953125,3382.7099609375,3403.64990234375,3413.219970703125,2731900,3413.219970703125
2021-12-29,3424.239990234375,3372.010009765625,3416.800048828125,3384.02001953125,1787700,3384.02001953125
2021-12-30,3417.760009765625,3370.47998046875,3394.0,3372.889892578125,1879200,3372.889892578125
2021-12-31,3387.0,3331.169921875,3379.1201171875,3334.340087890625,2391500,3334.340087890625
2022-01-03,3414.070068359375,3323.2099609375,3351.0,3408.090087890625,3176000,3408.090087890625
2022-01-04,3428.0,3326.989990234375,3408.760009765625,3350.43994140625,3536300,3350.43994140625
2022-01-05,3342.530029296875,3287.139892578125,3337.659912109375,3287.139892578125,3215100,3287.139892578125
2022-01-06,3296.0,3238.739990234375,3269.010009765625,3265.080078125,2597900,3265.080078125
2022-01-07,3304.8701171875,3240.6201171875,3276.780029296875,3251.080078125,2329300,3251.080078125
2022-01-10,3233.22998046875,3126.090087890625,3211.7099609375,3229.719970703125,4389900,3229.719970703125
2022-01-11,3327.0,3214.030029296875,3230.0,3307.239990234375,3140300,3307.239990234375
2022-01-12,3337.56005859375,3288.340087890625,3331.5,3304.139892578125,2501500,3304.139892578125
2022-01-13,3324.429931640625,3221.820068359375,3305.010009765625,3224.280029296875,2609400,3224.280029296875
2022-01-14,3245.0,3196.010009765625,3203.0,3242.760009765625,2295800,3242.760009765625
2022-01-18,3194.68994140625,3153.2900390625,3182.10009765625,3178.35009765625,3364600,3178.35009765625
2022-01-19,3185.0,3125.0,3175.239990234375,3125.97998046875,2662100,3125.97998046875
2022-01-20,3160.0,3027.02001953125,3135.320068359375,3033.35009765625,3598700,3033.35009765625
2022-01-21,3018.0,2841.409912109375,2999.0,2852.860107421875,8164200,2852.860107421875
